Date,Close/Last,Volume,Open,High,Low
10/20/2023,$4.28,27148830,$4.33,$4.44,$4.25
10/19/2023,$4.34,36199870,$4.49,$4.49,$4.30
10/18/2023,$4.53,59243690,$4.94,$4.98,$4.51
10/17/2023,$5.00,47744140,$4.92,$5.23,$4.90
10/16/2023,$5.28,23163680,$5.17,$5.38,$5.13
10/13/2023,$5.16,19609190,$5.08,$5.16,$4.99
10/12/2023,$5.07,24527220,$5.28,$5.35,$5.035
10/11/2023,$5.34,25534940,$5.38,$5.48,$5.23
10/10/2023,$5.44,38610930,$5.01,$5.46,$4.99
10/09/2023,$5.03,32408470,$5.00,$5.14,$4.87
10/06/2023,$5.13,29056910,$5.11,$5.21,$5.04
10/05/2023,$5.16,43996930,$5.48,$5.4999,$5.03
10/04/2023,$5.56,20382180,$5.46,$5.58,$5.35
10/03/2023,$5.38,18246350,$5.47,$5.50,$5.35
10/02/2023,$5.54,20221810,$5.57,$5.68,$5.4633
09/29/2023,$5.59,31028810,$5.60,$5.70,$5.50
09/28/2023,$5.53,25647160,$5.46,$5.615,$5.34
09/27/2023,$5.46,29318480,$5.49,$5.56,$5.32
09/26/2023,$5.31,29840610,$5.18,$5.39,$5.12
09/25/2023,$5.13,24208450,$5.14,$5.19,$4.97
09/22/2023,$5.11,28561230,$5.25,$5.33,$5.07
