Date,Close/Last,Volume,Open,High,Low
11/03/2023,$4.62,32179100,$4.66,$4.85,$4.55
11/02/2023,$4.54,47135750,$4.13,$4.615,$4.12
11/01/2023,$4.05,21911580,$4.13,$4.14,$3.96
10/31/2023,$4.12,20320210,$4.065,$4.175,$4.04
10/30/2023,$4.07,18462870,$4.10,$4.14,$4.00
10/27/2023,$4.04,16846280,$4.11,$4.17,$4.01
10/26/2023,$4.07,29818140,$4.12,$4.18,$3.98
10/25/2023,$4.17,21024020,$4.21,$4.33,$4.17
10/24/2023,$4.24,27605830,$4.38,$4.49,$4.205
10/23/2023,$4.34,26779360,$4.24,$4.47,$4.14
10/20/2023,$4.28,27148830,$4.33,$4.44,$4.25
10/19/2023,$4.34,36199870,$4.49,$4.49,$4.30
10/18/2023,$4.53,59243690,$4.94,$4.98,$4.51
10/17/2023,$5.00,47744140,$4.92,$5.23,$4.90
10/16/2023,$5.28,23163680,$5.17,$5.38,$5.13
10/13/2023,$5.16,19609190,$5.08,$5.16,$4.99
10/12/2023,$5.07,24527220,$5.28,$5.35,$5.035
10/11/2023,$5.34,25534940,$5.38,$5.48,$5.23
10/10/2023,$5.44,38610930,$5.01,$5.46,$4.99
10/09/2023,$5.03,32408470,$5.00,$5.14,$4.87
10/06/2023,$5.13,29056910,$5.11,$5.21,$5.04
10/05/2023,$5.16,43996930,$5.48,$5.4999,$5.03
10/04/2023,$5.56,20382180,$5.46,$5.58,$5.35
10/03/2023,$5.38,18246350,$5.47,$5.50,$5.35
10/02/2023,$5.54,20221810,$5.57,$5.68,$5.4633
09/29/2023,$5.59,31028810,$5.60,$5.70,$5.50
09/28/2023,$5.53,25647160,$5.46,$5.615,$5.34
09/27/2023,$5.46,29318480,$5.49,$5.56,$5.32
09/26/2023,$5.31,29840610,$5.18,$5.39,$5.12
09/25/2023,$5.13,24208450,$5.14,$5.19,$4.97
09/22/2023,$5.11,28561230,$5.25,$5.33,$5.07
09/21/2023,$5.17,31892380,$5.35,$5.37,$5.17
09/20/2023,$5.45,18801030,$5.57,$5.625,$5.45
09/19/2023,$5.50,27866710,$5.65,$5.67,$5.44
09/18/2023,$5.64,27839530,$5.87,$5.90,$5.61
09/15/2023,$5.92,31355420,$6.03,$6.12,$5.86
09/14/2023,$6.01,20299580,$5.89,$6.06,$5.85
09/13/2023,$5.87,12796500,$5.89,$5.9475,$5.82
09/12/2023,$5.91,21084240,$5.83,$6.02,$5.74
09/11/2023,$5.84,31971510,$5.93,$6.02,$5.635
09/08/2023,$5.84,25583940,$5.99,$6.00,$5.80
09/07/2023,$6.00,20888810,$6.03,$6.06,$5.92
09/06/2023,$6.14,22673520,$6.28,$6.375,$6.05
09/05/2023,$6.30,23261060,$6.29,$6.45,$6.22
09/01/2023,$6.36,20524740,$6.29,$6.41,$6.185
08/31/2023,$6.28,26180250,$6.41,$6.42,$6.15
08/30/2023,$6.36,16113030,$6.25,$6.41,$6.22
08/29/2023,$6.33,24580010,$6.13,$6.435,$6.04
08/28/2023,$6.15,20720420,$6.07,$6.195,$5.98
08/25/2023,$6.02,25687590,$5.89,$6.06,$5.82
08/24/2023,$5.86,32398750,$6.09,$6.105,$5.80
08/23/2023,$6.07,26033530,$6.03,$6.20,$6.00
08/22/2023,$6.07,29256220,$6.245,$6.31,$5.97
08/21/2023,$6.26,19787930,$6.22,$6.36,$6.16
08/18/2023,$6.18,22508310,$6.10,$6.24,$6.05
08/17/2023,$6.23,25743510,$6.38,$6.48,$6.225
08/16/2023,$6.34,26138790,$6.36,$6.45,$6.25
08/15/2023,$6.41,30110490,$6.70,$6.80,$6.35
08/14/2023,$6.77,25870230,$6.54,$6.78,$6.39
08/11/2023,$6.64,26917750,$6.59,$6.7165,$6.49
08/10/2023,$6.78,44069470,$7.185,$7.20,$6.71
08/09/2023,$7.08,52187300,$6.98,$7.295,$6.78
08/08/2023,$7.19,89780000,$6.415,$7.24,$6.20
08/07/2023,$6.41,56650140,$6.70,$6.71,$6.18
08/04/2023,$6.62,33869970,$6.95,$6.955,$6.61
08/03/2023,$6.89,25643190,$6.84,$7.03,$6.82
