Case #,Year,Date,Country,State,Description,Deaths,Tesla driver,Tesla occupant,Other vehicle,Cyclists/Peds,TSLA+cycl / peds,Model,Autopilot claimed,Reported in NHTSA SGO
370,2023,10/14/2023,USA,WA,Car hit by oncoming Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
369,2023,10/14/2023,USA,CA,Stolen Tesla hits minivan,2,1,0,1,0,1,#N/A,FALSE,#N/A
368,2023,10/13/2023,USA,CA," Tesla hits divider and tree, ignites ",2,1,1,0,0,2,#N/A,FALSE,#N/A
367,2023,10/10/2023,USA,MA,Tesla hits car making u-turn,1,0,0,1,0,0,#N/A,FALSE,#N/A
366,2023,10/4/2023,USA,CA," Head-on collision, Tesla catches fire ",1,1,0,0,0,1,Y,FALSE,#N/A
365,2023,10/2/2023,USA,CA,Tesla heading in wrong direction collides with car,2,1,0,1,0,1,3,FALSE,#N/A
364,2023,9/30/2023,USA,CA,Tesla hits pole,1,1,0,0,0,1,Y,FALSE,#N/A
363,2023,9/25/2023,USA,VA,Rear-end car crash,1,0,0,1,0,0,#N/A,FALSE,#N/A
361,2023,9/24/2023,USA,PA,Collision,3,0,0,0,0,0,#N/A,FALSE,#N/A
360,2023,9/4/2023,USA,VA,Motorcycle and Tesla head-on collide,1,0,0,1,0,0,#N/A,FALSE,#N/A
359,2023,9/1/2023,USA,ID,Tesla crosses center line and hits oncoming car,4,1,2,1,0,4,#N/A,FALSE,#N/A
358,2023,8/29/2023,USA,TX,Tesla crashes into wall of hospital,2,1,1,0,0,2,#N/A,FALSE,#N/A
357,2023,8/13/2023,USA,NJ,Motorcycle hits Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
355,2023,8/12/2023,USA,CA,Multi-car accident involving semi,1,0,0,0,0,0,#N/A,FALSE,#N/A
354,2023,8/1/2023,USA,CA,Motorcycle hits Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
353,2023,7/31/2023,USA,TX,Hit and run,1,0,0,0,1,1,#N/A,FALSE,#N/A
352,2023,7/29/2023,USA,UT," Tesla crashes into tree, burns ",3,1,2,0,0,3,#N/A,FALSE,#N/A
351,2023,7/29/2023,USA,TX," Tesla crashes into tree, burns ",1,1,0,0,0,1,#N/A,FALSE,#N/A
350,2023,7/22/2023,USA,NC,Tesla crashes into trees,1,1,0,0,0,1,#N/A,FALSE,#N/A
349,2023,7/21/2023,USA,VA,Tesla crashes into side of truck,1,1,0,0,0,1,Y,TRUE,13781-5996
348,2023,7/20/2023,USA,CA,Multi-car accident,1,0,0,0,0,0,#N/A,FALSE,#N/A
346,2023,7/16/2023,USA,FL,Tesla runs off road and crashes into pole,1,1,0,0,0,1,Y,FALSE,#N/A
345,2023,7/8/2023,USA,MN,Speeding Tesla crashes into minivan,1,0,0,1,0,0,#N/A,FALSE,#N/A
344,2023,7/8/2023,USA,CA,Tesla crashes in parking lot,3,1,2,0,0,3,#N/A,FALSE,#N/A
342.2,2023,7/7/2023,USA,CA,Tesla hits fire hydrant and burns,2,1,1,0,0,2,#N/A,FALSE,#N/A
342.1,2023,7/7/2023,USA,CA,Multi Car accident involving DUI,1,0,0,1,0,0,#N/A,FALSE,#N/A
342,2023,7/5/2023,USA,CA,Collision,2,0,1,1,0,1,3,FALSE," 13781-5835
 "
341,2023,7/4/2023,USA,FL,Tesla crashes into divider,1,1,0,0,0,1,#N/A,FALSE,#N/A
338,2023,6/29/2023,USA,NY," Tesla crashes into house, explodes ",2,0,0,0,0,0,X,FALSE,#N/A
337.1,2023,6/26/2023,USA,WA," Tesla hits trees, ignites ",1,1,0,0,0,0,#N/A,FALSE,#N/A
337,2023,6/26/2023,USA,CA,Tesla t-bones car,1,0,0,1,0,0,#N/A,FALSE,#N/A
336,2023,6/22/2023,USA,MD,Tesla crashes into divider,1,1,0,0,0,0,#N/A,FALSE,#N/A
335.1,2023,6/20/2023,USA,CA,Car collides with Tesla,1,0,0,1,0,0,Y,FALSE,13781-5785
335,2023,6/15/2023,USA,FL,Tesla loses control and hits divider,1,1,0,0,0,0,#N/A,FALSE,#N/A
334,2023,6/14/2023,USA,CA," Tesla loses control and hits tree, catches fire ",2,1,1,0,0,0,Y,FALSE,#N/A
333,2023,6/13/2023,USA,CA,Tesla rolls off road and hits culvert,1,1,0,0,0,0,#N/A,FALSE,#N/A
332,2023,6/11/2023,USA,NY,Tesla rolls off road,4,1,3,0,0,4,#N/A,FALSE,#N/A
331,2023,6/11/2023,USA,MA,Motorcycle crashes into Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
330,2023,6/7/2023,USA,NY,Tesla hits pedestrian,1,0,0,0,1,1,#N/A,FALSE,13781-5685
329,2023,6/6/2023,USA,OR," Tesla drifts off interstate, hits tree, catches fire ",1,1,0,0,0,1,S,FALSE,13781-5673
328,2023,5/31/2023,USA,CA,SUV and Tesla collide,2,1,0,1,0,1,#N/A,FALSE,#N/A
327,2023,5/28/2023,USA,IL,Tesla hits ejected motorcyclist,1,0,0,0,1,1,#N/A,FALSE,#N/A
326,2023,5/23/2023,USA,CT,Tesla crashes in nine cars,1,1,0,0,0,1,#N/A,FALSE,#N/A
325,2023,5/22/2023,USA,GA," Tesla crashes into woods, catches fire ",2,1,1,0,0,2,#N/A,FALSE,#N/A
324,2023,5/14/2023,USA,CA,SUV filled with family members and Tesla collide,3,0,0,3,0,0,#N/A,FALSE,#N/A
323,2023,5/13/2023,USA,OR,Tesla collides with tow truck,1,1,0,0,0,1,#N/A,FALSE,#N/A
321,2023,5/5/2023,USA,CA,Motorcycle crashes into Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
319,2023,4/30/2023,USA,NJ,Collision,1,0,0,1,0,0,#N/A,FALSE,#N/A
318,2023,4/25/2023,USA,CA,Tesla hits electric bike,1,0,0,0,1,1,#N/A,FALSE,#N/A
317,2023,4/23/2023,USA,CA,Multi Car crash,2,0,0,2,0,0,3,FALSE,13781-5372
316,2023,4/18/2023,USA,CT," Tesla hits car, car crashes into median ",1,0,0,1,0,0,#N/A,FALSE,#N/A
315,2023,4/17/2023,USA,TX,Two car collision,1,1,1,0,0,1,3,FALSE,#N/A
314,2023,4/14/2023,USA,AL,Tesla crashes into semi,2,1,1,0,0,2,#N/A,FALSE,#N/A
313,2023,4/3/2023,USA,CA,Fiery crash,1,0,1,0,0,1,X,FALSE,#N/A
312.1,2023,3/28/2023,USA,CA,Pickup hits Tesla,1,0,0,0,0,1,#N/A,FALSE,13781-5165
312,2023,3/25/2023,USA,CA,Hit and run,1,0,0,0,1,1,3,FALSE,#N/A
311.1,2023,3/15/2023,USA,NJ," Tesla hits tree during snow storm, ignites ",1,1,0,0,0,1,#N/A,FALSE,#N/A
311,2023,3/12/2023,USA,UT,Car hits Tesla that crashed into cable barrier; inclement weather,1,0,0,1,0,0,#N/A,FALSE,#N/A
310,2023,2/25/2023,USA,MO,Tesla hits turning car,1,0,0,1,0,0,#N/A,FALSE,#N/A
309,2023,2/25/2023,USA,CA,Collision,2,1,1,0,0,2,#N/A,FALSE,#N/A
308,2023,2/21/2023,USA,DC,Multi-car crash,1,1,0,0,0,1,3,FALSE,#N/A
307,2023,2/20/2023,USA,ID,Tesla drives into embankment,1,1,0,0,0,1,#N/A,FALSE,#N/A
306,2023,2/20/2023,USA,CA,Tesla drives into opposite lane,3,0,2,1,0,2,#N/A,FALSE,#N/A
305,2023,2/18/2023,USA,CA,Tesla crashes into fire truck,1,1,0,0,0,1,#N/A,TRUE,13781-4963
303,2023,2/17/2023,USA,NY,Tesla collides with car head-on,4,1,1,2,0,2,#N/A,FALSE,#N/A
302,2023,2/15/2023,USA,CO,Four vehicle collision,1,0,0,1,0,0,#N/A,FALSE,#N/A
301,2023,2/14/2023,USA,NJ,Pickup hits Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
300,2023,2/7/2023,USA,TN,Two-car collision,2,1,1,0,0,2,#N/A,FALSE,#N/A
299,2023,1/31/2023,USA,PA,Speeding Tesla hits pedestrian,1,0,0,0,1,1,3,FALSE,#N/A
298,2023,1/30/2023,USA,MO,Speeding Tesla crashes into car,1,0,0,1,0,0,#N/A,FALSE,#N/A
297,2023,1/21/2023,USA,CA,Tesla crashes into resident's pool,1,1,0,0,0,1,#N/A,FALSE,#N/A
296,2023,1/17/2023,USA,CA,Tesla crashes into back of semi,1,1,0,0,0,1,#N/A,FALSE,#N/A
294,2023,1/7/2023,USA,WA," Tesla hits pole, catches on fire ",1,0,1,0,0,1,#N/A,FALSE,#N/A
293.1,2023,1/7/2023,USA,WA," Tesla hits pole, ignites ",1,0,1,0,0,1,#N/A,FALSE,#N/A
